id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
ya9qZ-AeNav0H0EWZg7l7g,baroche-paris-3,Baroche,https://s3-media2.fl.yelpcdn.com/bphoto/p6oseQwJuO5AmcZn0kAkDw/o.jpg,False,https://www.yelp.com/biz/baroche-paris-3?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,204,"[{'alias': 'brasseries', 'title': 'Brasseries'}]",4.0,"{'latitude': 48.871315, 'longitude': 2.307362}",[],€€,"{'address1': '101 rue la Boétie', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75008', 'country': 'FR', 'state': '75', 'display_address': ['101 rue la Boétie', '75008 Paris', 'France']}",+33143596957,+33 1 43 59 69 57,2748.909031887655
5oR_HYjo9dJUQCIr9jpzfw,le-train-bleu-paris-3,Le Train Bleu,https://s3-media2.fl.yelpcdn.com/bphoto/Z9XhJ0STFgSW6gSitVF0GQ/o.jpg,False,https://www.yelp.com/biz/le-train-bleu-paris-3?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,256,"[{'alias': 'french', 'title': 'French'}]",4.0,"{'latitude': 48.844901, 'longitude': 2.373278}",[],€€€€,"{'address1': 'Place Louis Armand', 'address2': '1er étage', 'address3': '', 'city': 'Paris', 'zip_code': '75012', 'country': 'FR', 'state': '75', 'display_address': ['Place Louis Armand', '1er étage', '75012 Paris', 'France']}",+33143430906,+33 1 43 43 09 06,2963.974796067611
yB0h4AoH8V2ywzRhlReD3w,la-méthode-paris-2,La Méthode,https://s3-media3.fl.yelpcdn.com/bphoto/KVELSH1eUWaAkZd1z9qNgg/o.jpg,False,https://www.yelp.com/biz/la-m%C3%A9thode-paris-2?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,29,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bistros', 'title': 'Bistros'}]",4.0,"{'latitude': 48.847253, 'longitude': 2.348555}",[],€€,"{'address1': '2 rue Descartes', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75005', 'country': 'FR', 'state': '75', 'display_address': ['2 rue Descartes', '75005 Paris', 'France']}",+33143542243,+33 1 43 54 22 43,1701.052783056705
59YEvrt18qxxfq0wbgT-cg,little-breizh-paris,Little Breizh,https://s3-media2.fl.yelpcdn.com/bphoto/_0rFi8Qlp8HA0mOg3hXMIg/o.jpg,False,https://www.yelp.com/biz/little-breizh-paris?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,206,"[{'alias': 'creperies', 'title': 'Creperies'}]",4.5,"{'latitude': 48.853215, 'longitude': 2.337917}",[],€€,"{'address1': '11 rue Grégoire de Tours', 'address2': None, 'address3': '', 'city': 'Paris', 'zip_code': '75006', 'country': 'FR', 'state': '75', 'display_address': ['11 rue Grégoire de Tours', '75006 Paris', 'France']}",+33143546074,+33 1 43 54 60 74,1020.3242076321067
pjkb5ix5JEN9jMQYf8AgIQ,la-consigne-paris-2,La Consigne,https://s3-media3.fl.yelpcdn.com/bphoto/lPFZmuBSoei5Bi462TieWA/o.jpg,False,https://www.yelp.com/biz/la-consigne-paris-2?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,7,"[{'alias': 'brasseries', 'title': 'Brasseries'}]",4.0,"{'latitude': 48.84595, 'longitude': 2.37232}",[],€€,"{'address1': '2 bis rue de Lyon', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75012', 'country': 'FR', 'state': '75', 'display_address': ['2 bis rue de Lyon', '75012 Paris', 'France']}",+33143432107,+33 1 43 43 21 07,2835.8062503036913
v5Noospim4MQhncZRpCuCA,le-petit-marché-paris-6,Le Petit Marché,https://s3-media3.fl.yelpcdn.com/bphoto/adVjTHKKQjIf9BJmyrvz1g/o.jpg,False,https://www.yelp.com/biz/le-petit-march%C3%A9-paris-6?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,92,"[{'alias': 'french', 'title': 'French'}]",4.5,"{'latitude': 48.857267, 'longitude': 2.366041}",[],€€€,"{'address1': '9 rue Béarn', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75003', 'country': 'FR', 'state': '75', 'display_address': ['9 rue Béarn', '75003 Paris', 'France']}",+33142720667,+33 1 42 72 06 67,1824.1128632263924
BRZVAs-_wmHOIBuLzmY6MQ,chez-félicie-paris-2,Chez Félicie,https://s3-media2.fl.yelpcdn.com/bphoto/ilZWvlY3dx8mIrGyz6r_fA/o.jpg,False,https://www.yelp.com/biz/chez-f%C3%A9licie-paris-2?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,106,"[{'alias': 'french', 'title': 'French'}]",4.0,"{'latitude': 48.83245, 'longitude': 2.32472}",[],€€,"{'address1': '174 avenue du Maine', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75014', 'country': 'FR', 'state': '75', 'display_address': ['174 avenue du Maine', '75014 Paris', 'France']}",+33145410575,+33 1 45 41 05 75,3521.6443634489215
aPLSj-9aNHSQpi7Sf5_9hA,le-comptoir-paris-18,Le Comptoir,https://s3-media4.fl.yelpcdn.com/bphoto/YkB2NVGQv8l_j2fXLdvrrA/o.jpg,False,https://www.yelp.com/biz/le-comptoir-paris-18?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,436,"[{'alias': 'bistros', 'title': 'Bistros'}]",4.0,"{'latitude': 48.851945700766, 'longitude': 2.338757487651}",[],€€€,"{'address1': ""9 carrefour de l'Odeon"", 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75006', 'country': 'FR', 'state': '75', 'display_address': [""9 carrefour de l'Odeon"", '75006 Paris', 'France']}",+33144270750,+33 1 44 27 07 50,1140.6769197997376
PXYLVsHC33f_dQVVCH-PMw,victoires-paris-2,Victoires,https://s3-media3.fl.yelpcdn.com/bphoto/sL8UgblbonhAsNpDUj03WA/o.jpg,False,https://www.yelp.com/biz/victoires-paris-2?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,216,"[{'alias': 'french', 'title': 'French'}]",4.0,"{'latitude': 48.865569, 'longitude': 2.340286}",[],€€,"{'address1': '6 rue la Vrillière', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75001', 'country': 'FR', 'state': '75', 'display_address': ['6 rue la Vrillière', '75001 Paris', 'France']}",+33142614378,+33 1 42 61 43 78,423.92921152509274
26YjCdVvyn5jv4sZYd1Lvw,loup-paris,Loup,https://s3-media2.fl.yelpcdn.com/bphoto/M1pgSeZdPeuNqkElQiBg9A/o.jpg,False,https://www.yelp.com/biz/loup-paris?adjust_creative=hOJvE1r6vt9VxXnwtvm9zQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hOJvE1r6vt9VxXnwtvm9zQ,57,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 48.863959, 'longitude': 2.342631}",[],€€€,"{'address1': '44 rue du Louvre', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75001', 'country': 'FR', 'state': '75', 'display_address': ['44 rue du Louvre', '75001 Paris', 'France']}",+33142367323,+33 1 42 36 73 23,225.2239356768602
